ID ,question,answer
674,an experimental new drug in the treatment of diabetes mellitus type  was found to increase the levels of incretins by preventing their degradation at the endothelium this further increased glucosedependent insulin production which of the following drugs has a mechanism of action most similar to this new experimental drug,sitagliptin
675,a yearold man with severe persistent asthma since the age of  presents with an acute exacerbation of shortness of breath wheezing and coughing over the last several days his asthmatic symptoms are usually well controlled with regular highdose inhaled triamcinolone but over the last week or so he has developed a nocturnal cough and mild wheezing despite good compliance with controller medications a review of several spirometry reports suggest of bronchial asthma with a partial irreversible airway obstruction which of the following is most likely to be associated with the recent loss of asthma control in this patient,airway remodeling
676,a yearold man is admitted to the hospital because of a day history of a productive cough and shortness of breath his temperature is c f and respirations are min crackles are heard over the right upper and the entire left lung fields sputum culture confirms infection with streptococcus pneumoniae despite appropriate therapy the patient dies a photomicrograph of a section of the lung obtained during the autopsy is shown which of the following mediators is most likely responsible for the presence of the celltype indicated by the arrow,platelet activating factor
677,a monthold infant is brought to the emergency department by her mother due to a fall tearfully the patients mother describes witnessing her child fall from the changing table the patient was born prematurely at  weeks estimated gestational age via vacuumassisted vaginal delivery the patient is afebrile her vital signs include blood pressure of  mm hg pulse min and respiratory rate min physical examination reveals a subconjunctival hemorrhage in the left eye and multiple bruises on the chest and back which of the following is the best initial step in management of this patients condition,ct scan of the head
678,a researcher is interested in identifying the most effective treatment for uncomplicated urinary tract infections uti in women between the ages of  and  of  consecutive women who present to the emergency room for such a uti  are randomized to each of the following nitrofurantoin  mg every  hours for  days nitrofurantoin  mg every  hours for  days cefpodoxime  mg every  hours for  days and cefpodoxime  mg every  hours for  days the measured outcomes include progression to pyelonephritis positive urine culture on day  after initiation of treatment and likelihood of representing to the emergency room for another uti within  days which of the following best describes this type of study,factorial design study
679,a yearold man comes to the emergency department because of acute onset neck pain and enlargement specifically he reports that he has been experiencing pain and swelling of the anterior portion of his neck near the midline otherwise he says that he has been getting tired easily and feels cold often physical exam reveals a painful diffusely enlarged thyroid gland with many small nodules a biopsy is obtained showing diffuse cellular hyperplasia with areas of focal colloid hyperplasia given these findings the patient is started on appropriate therapy and the neck mass becomes smaller over time which of the following is most likely associated with the cause of this patients symptoms,iodine deficiency
680,a yearold man presents to the office because of extreme fatigue for the past  days he is also worried about his skin looking yellow he does not have any other complaints and denies fever and headache he admits to using illicit intravenous drugs in the past he does not have any immunization records because he moved from africa to the us at the age of  his vital signs are as follows heart rate min respiratory rate min temperature c f and blood pressure  mm hg physical examination is not significant except for mild diffuse abdominal tenderness his blood is drawn for routine tests and shows an alanine aminotransferase level alt of  iul a hepatitis viral panel is ordered which showsnantihav igm negativenhbsag positivenantihbs negativenigm antihbc positivenantihcv negativenantihdv negativenwhat is the most likely diagnosis,acute hepatitis b
681,a yearold female presents to her primary care provider with an aching pain in her left leg that has progressively gotten worse over several days she recently had an unfortunate sporting incident resulting in large bruises along both legs and lower thighs an xray after the event was negative for fracture past medical history is positive for systemic lupus erythematosus she also has a history of one spontaneous abortion at  weeks gestation today her heart rate is min respiratory rate is min blood pressure is  mm hg and temperature is c f on physical examination her left leg appears pink and slightly swollen homans sign is positive a doppler ultrasound reveals a thrombus in the left popliteal vein her lab results are as followsnplatelets mmnprothrombin time  secnpartial thromboplastin time  secnmixing study ptt  secnwhat is the most likely cause of the patients condition,antibodies directed against phospholipids
682,a yearold woman with a history of asthma visits her physician for worsening shortness of breath she states that she feels as though her lungs are falling apart noting that her lung function has been steadily deteriorating she further states that she has visited a number of other physicians who prescribed several different types of inhalers but she feels that they have not helped her control her asthma exacerbations she has experienced  episodes of pneumonia in the last  years and often suffers from random bouts of excessive coughing and wheezing when asked if her coughing episodes produce sputum she states yes the stuff is greenish with specks of red in it she also states that her coughing and wheezing episodes are associated with fever malaise and occasional expectoration of brown mucous plugs the vital signs include blood pressure  mm hg pulse min respiratory rate min and temperature c f on physical exam the patient appears fraillooking and in moderate respiratory distress auscultation reveals inspiratory crackles in the right lung base and coarse breath sounds in the bilateral upper lung lobes chest radiograph as shown below reveals atelectasis in the right lung base there are also branched radiodensities that the radiologist notes as being glovefinger shadows noted by the arrow in the image serum immunoglobulin e ige levels are elevated which of the following is the most appropriate therapy in this patient,prednisone
683,a yearold man is brought to the emergency department with complaints of fever   and diarrhea for the past  hours there is no history of headaches vomiting or loss of consciousness the past medical history is unobtainable due to a language barrier the patient recently immigrated from abroad but his wife says her husband had a motor vehicle accident when he was a teenager that required surgery he is transferred to the icu after a few hours in the ed because of dyspnea cyanosis and nearcollapse there are no signs of a meningeal infection the blood pressure was  mm hg at the time of transfer a chest xray at the time of admission showed interstitial infiltrates without homogeneous opacities the initial laboratory results reveal metabolic acidosis leukopenia with a count of mm thrombocytopenia mm and a coagulation profile suggestive of disseminated coagulation a peripheral smear was performed and is shown below despite ventilatory support administration of intravenous fluids antibiotics and vasopressor agents the patient died the next day a gram stain from an autopsy specimen of the lungs revealed grampositive lancetshaped diplococci occurring singly or in chains which of the following organisms is most likely,streptococcus pneumoniae
684,a yearold girl is brought to the emergency department  hours after the sudden onset of colicky abdominal pain and vomiting the patient also manifests symptoms of redness and swelling of the face and lips without pruritus her symptoms began following a tooth extraction earlier in the morning she had a similar episode of facial swelling after a bicycle accident  year ago which resolved within  hours without treatment vital signs are within normal limits examination shows a nontender facial edema erythema of the oral mucosa and an enlarged tongue the abdomen is soft and there is tenderness to palpation over the lower quadrants an abdominal ultrasound shows segmental thickening of the intestinal wall which of the following is the most likely cause of this patients condition,complement inhibitor deficiency
685,a healthy yearold man undergoes physical fitness testing prior to longterm submarine deployment to evaluate his pulmonary function lung and thoracic compliance are measured at different system pressures a graph of the relationship between his lung volume and transpulmonary pressure is shown the dotted line in this graph corresponds to which of the following lung volumes,functional residual capacity
686,a dayold boy is brought to the emergency department because of a hour history of somnolence poor feeding and one episode of vomiting he is exclusively breastfed his serum glucose concentration is  mgdl and his serum ammonia concentration is  moll n urinalysis shows an increased orotic acid to creatinine ratio urinary ketones are absent this patient is most likely deficient in an enzyme that catalyzes which of the following reactions,ornithine and carbamoyl phosphate to citrulline
687,a yearold woman comes to the physician because of dragging pelvic pain and a  kg  lb  oz weight loss over the past  months menses occur at irregular  to day intervals her last menstrual period was  weeks ago her temperature is c f heart rate is min and blood pressure is  mm hg physical examination shows hyperreflexia urine pregnancy test is negative ultrasonography shows a cm hypoechoic adnexal mass this adnexal mass is most likely derived from which of the following cell types,germ cells
688,a yearold man comes to the emergency department with the complaint of pain in his right toe for the past hour the pain is so severe that it woke him up the patient has smoked a pack of cigarettes daily for the last  years and binge drinks alcohol after work and on the weekends he underwent an appendectomy when he was  years old he is a longdistance truck driver neither of his parents had any significant medical history his temperature is c f blood pressure is  mm hg pulse is min respiratory rate is min and bmi is  kgm on examination his right first metatarsophalangeal joint is very tender swollen warm and red in color range of motion cannot be assessed due to extreme tendernessnlaboratory testncomplete blood countnhemoglobin  gdlnleukocytes mmnplatelets mmnesr  mmhrnsynovial fluid is aspirated from the joint the findings arenappearance cloudy dense yellownwbc  cellslnculture negativenneedleshaped birefringent crystals are observed in the joint aspirate which of the following is the most likely underlying cause of the patients condition,organic acids competing with urate for tubular secretion
689,a yearold man presents to the infectious diseases clinic for followup he was recently admitted to the hospital with fever shortness of breath and cough and was found to have pneumocystic jirovecii pneumonia and a new diagnosis of hiv his cd count is  viral load is pending as part of routine laboratory studies given his new diagnosis an rpr was found to be positive with a titer of  and this is confirmed with a positive ftaabs he is unsure when or how he acquired hiv or syphilis his neurological examination is normal and he has no symptoms which of the following is the most appropriate next step in management,treat with three weekly injections of penicillin obtain titers in  months
690,a year old man presents to his primary care physician for his yearly checkup he has not noticed any major changes in his health over the last year but says that unfortunately he stopped exercising because he has been stressed by work his past medical history is significant for obesity hypertension diabetes hypercholesterolemia and hyperlipidemia he is taking a number of drugs but does not remember what they are a panel of metabolic and lipid tests are ordered and show worsening of his metabolic parameters based on these findings his physician prescribes a drug that leads to a large decrease in triglycerides with a much smaller increase in highdensity lipoproteins and decrease in lowdensity lipoproteins the drug that was most likely prescribed in this case is associated with which of the following side effects,cholelithiasis
691,a yearold woman presents to her obgyn for a preconception visit she wishes to become pregnant within the next several months a thorough history reveals that the patient suffers from phenylketonuria pku she recalls being instructed by prior physicians to follow a diet that avoids certain foods however she admits to not being complaint with these recommendations laboratory testing reveals a plasma phenylalanine level of  mgdl normal range  mgdl which of the following is the most appropriate response to this patient, months prior to conception begin a restricted diet to lower phenylalanine levels to below  mgdl
692,a yearold man presents to his family physician with a sudden onset of severe pain and redness in his eyes that started this morning he is having difficulty seeing properly and is extremely worried about losing his vision further history reveals that he has had progressive lower back pain for over  months now the pain is usually at its worst in the morning but it remains throughout the day it gets better with movement however so he tends to do some light exercises every day he also has heel pain and feels significant pressure while walking laboratory analysis reveals increased esr and crp serum levels which of the following would most likely be seen in this patient,aortic regurgitation
693,a yearold woman presents to her physicians clinic for recurrent episodes of chest pain that wakes her from her sleep while usually occurring late at night she has also had similar pains during the day at random times most recently while sitting at her desk in her office and at other times while doing the dishes at home the pain lasts  minutes and resolves spontaneously she is unable to identify any common preceding event to pain onset the remainder of her history is unremarkable and she takes no regular medications she works as an accountant there is no history of smoking or drug use however she does consume  alcoholic drinks per week examination reveals pulse min respirations min and blood pressure  mm hg a physical examination is unremarkable which of the following would be effective in reducing her symptoms,isosorbide dinitrate
694,a yearold male presents to his pediatrician with complaints of malaise fatigue sore throat and fever over the last several days his vital signs are as follows t  c hr  bp  rr  and spo  physical examination is significant for splenomegaly tonsillar exudate and posterior auricular lymphadenopathy the tonsils are not notably enlarged laboratory workup shows an elevated lymphocyte count atypical lymphocytes on a peripheral blood smear and a positive heterophile antibody screen which of the following is the best management of this patients condition,bed rest and activity limitation
695,a yearold man comes to the physician because of a day history of nausea and vomiting over the past  days he has also been feeling weak and tired when standing up after sitting for a while he feels dizzy he says he has to go to the bathroom more often than usual and that he is urinating a normal amount each time he has not had diarrhea he has hypertension for which he has been taking hydrochlorothiazide for the past  months he drinks  glasses of water per day and takes his medication regularly he is  cm  ft  in tall and weighs  kg  lb bmi is  kgm his temperature is c f blood pressure is  mm hg and pulse is min physical examination shows whitening of the tongue skin that is pinched on the back of the hand retracts after  seconds on mental status examination his speech is slowed he is oriented to person place and time laboratory studies shownserumnna  meqlncl  meqlnk  meqlnhco  meqlnosmolality  mosmkgnhemoglobin ac nurinenosmolality  mosmkgnwhich of the following is the most likely explanation for these findings,osmotic diuresis
696,a yearold woman presents to her primary care physician for her yearly exam her only complaint is difficulty losing weight her bmi is  kgm in addition to a standard physical exam the physician orders a glucose tolerance test the womans fasting blood glucose level is  mgdl and twohour post g glucose load blood glucose level is  mgdl the physician informs the patient that she is prediabetic or at risk of developing diabetes and recommends lifestyle modification with followup in  months which of the following endogenous signaling molecules or receptors will increase insulin sensitivity in this patient,peroxisome proliferatoractivated receptor gamma
697,a yearold male presents to the emergency department for evaluation of hemoptysis a chest xray reveals bilateral focal pulmonary consolidation on further questioning he admits having hematuria urinalysis shows rbc casts and  ml of urine is excreted in  hours what is the most likely cause of hemoptysis and hematuria in this patient,antiglomerular basement membrane antibodies
698,a yearold man comes to the physician with a month history of difficulty concentrating at work he is worried he may lose his job due to poor performance he feels constantly tired but attributes his fatigue to waking up early most mornings and being unable to fall back asleep his wife has noticed that he has been speaking more slowly than usual and his appetite has decreased he used to enjoy dance classes with her but has not been as interested in this recently he is a veteran who returned from a deployment to afghanistan  years ago which of the following is the most likely diagnosis,major depressive disorder
699,a yearold female presents to her primary care physician complaining of double vision she first started seeing double after a long day at her work as a radiation technologist since then her vision has appeared to worsen in the evenings she has also felt worsening fatigue despite no change in her work hours or sleep habits she has a history of type i diabetes mellitus and her most recent hemoglobin ac was  her family history is notable for sjogrens syndrome in her mother and hypertension hyperlipidemia and carotid dissection in her father her temperature is f c blood pressure is  mmhg pulse is min and respirations are min on examination her pupils are equally round and reactive to light extraocular movements are intact mild ptosis is noted bilaterally but worse on the left a visual acuity test reveals no abnormalities which of the following medications is most appropriate in the management of this patient,pyridostigmine
700,a yearold woman visits a physician for a general medical examination she is asymptomatic six months prior she had a cerebral stroke with left hemiparesis from which she has almost completely recovered with physiotherapy she has a history of hypertension and atrial fibrillation af she has no significant ischemic valvular or structural heart disease she takes metoprolol amlodipine warfarin and atorvastatin blood pressure is  mm hg pulse is min with an irregular rhythm respirations are min she has a minor limp and weakness in her left arm and leg heart exam shows no abnormalities other than irregular beats to assess adherence and therapeutic efficacy in this patient which of the following studies should be ordered,international normalized ratio
701,a yearold boy is brought to his primary care physician for a physical prior to beginning a preschool program he is found to be delayed in reaching normal childhood cognitive and social milestones which is consistent with observations at previous checkups physically he is also found to be significantly overweight with hypogonadism notably the boy was limp when he was born and did not have a normal motor response to stimuli elevated levels of a gastrointestinal hormone are associated with the cause of this patients weight gain the hormone that is most responsible for causing the weight gain is produced in which of the following cell types,pd cells
702,accurate and rapid identification of individuals with tuberculosis tb is crucial to accomplishing the goal of the world health organization who to eliminate this disease one of the key strategies for the detection of tb is the use of tuberculin skin testing as a globally pertinent screening method due to its low cost and technical simplicity a study from brazil demonstrated  accuracy  sensitivity  specificity  positive predictive value and  negative predictive value when using mm skin elevation as a threshold or cutoff point for the screening test following intradermal injection lowering the cutoff point to  mm would also result in an increase in which test property,negative predictive value
703,a yearold caucasian male is transferred to a tertiary care hospital from a small county hospital where he presented with jaundice and severe abdominal pain that radiates to the back while in the county hospital he did not develop fever and his vital signs were stable for the  hours he spent at there initial laboratory tests are given belowntotal bilirubin  mgdlndirect bilirubin  mgdlnast nalt nalkaline phosphatase  iulnglucose  mgdlnthe patients medical history is relevant for hypertension and diabetes mellitus he admits to smoking cigarettes since his early teenage years moderate icterus is evident during physical examination the abdomen is distended and dull to percussion and there is periumbilical tenderness which of the following markers would you expect to be elevated in this patient,ca
704,a oneweekold fullterm infant born by uncomplicated vaginal delivery is brought to a pediatrician by his mother who notes that her daughters skin appears yellow she reports that the child cries several times per day and sleeps  hours at night uninterrupted she has been breastfeeding exclusively and feels that he has been feeding well which of the following is the best treatment for this condition,continue normal breast feeding
705,a yearold woman arrives to the clinic complaining of progressive urinary leakage that has occurred for the past  year at first she would notice leakage only during athletic exercise but now the incontinence occurs even when she laughs or coughs the patient states that she goes to the bathroom more frequently to try to prevent wetting myself she wakes up once a night to urinate she denies dysuria hematuria abdominal pain and abnormal vaginal discharge the patient has bipolar syndrome and takes lithium she had an uncomplicated vaginal delivery  years ago and a cesarean section  years ago she has had no other surgeries she drinks at least  glasses of water a day but may drink more on days she goes for a long run she also has a large coffee in the morning and another coffee midday if she needs to focus the patient denies tobacco alcohol and other recreational drug use pelvic examination and speculum examination are unremarkable when that patient is asked to valsalva leakage of urine is observed a urinalysis including specific gravity is within normal limits a betahuman chorionic gonadotropin is negative which of the following is the most likely cause of the patients symptoms,urethral hypermobility
706,a yearold woman presents to the emergency department after an episode of altered mental status she was at a party when she suddenly fell to the floor her friends state that she was not responsive and was acting oddly after the episode the patient seemed confused and had no memory of the event the patient has a past medical history of substance abuse depression and anxiety her temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air physical exam reveals a girl who seems confused and responds to questions slowly her gait is stable and she demonstrates  strength in her upper and lower extremities laboratory values and a urine dipstick test are performed as seen belownntoxicologynbenzodiazepines positivenmarijuana positivencocaine negativenphencyclidine negativennurine dipsticknappearance darknred blood cells positivenglucose negativennwhich of the following is the best next step in management,iv fluids and mannitol
707,a yearold woman presents to a physician for evaluation of vomiting and diarrhea for  days her symptoms began following a company picnic a few days ago initially she was unable to tolerate any solids or liquids by mouth but now has been able to drink sips of water she had a mild headache which was relieved with acetaminophen the past medical history is unremarkable she does not take any medications the blood pressure is  mm hg and the heart rate is min on examination the mucous membranes are dry and the eyes are slightly sunken where is most of the sodium reabsorbed in this patients kidneys,proximal tubule
708,a oneweekold boy presents with yellow sclerae severe lethargy and decreased muscle tone his mother notes that the symptoms started shortly after birth and have been progressively worsening the patient is breast fed and takes no medications his labs are within normal limits with the exception of his liver function tests as followsnnalt  u lnast  ulnalkaline phosphatase  ulnalbumin  gdlntotal protein  gdlnbilirubin total  mgdlnbilirubin unconjugated  mgdlnbilirubin conjugated  mgdlnnthe boy is taken immediately for treatment what is the most likely underlying cause of his condition,absence of udpglucuronosyltransferasea
709,a researcher is conducting an experiment on the mouse kidney to study the relative concentrations between the tubular fluid and plasma of a number of substances along the proximal convoluted tubule based on the graph shown in figure a which of the following best describes the tubular fluidtoplasma concentration ratio of urea,b
710,a yearold man comes to the emergency department because of rightsided back pain nausea and dark urine he reports alternating episodes of decreased urine output followed by a temporary increase in urine output for the past  days in the past year he has had two urinary tract infections he has crohn disease and underwent a small bowel resection  years ago he currently takes mesalamine and a multivitamin his father had recurrent kidney stones his vital signs are within normal limits examination shows right costovertebral angle tenderness urinalysis shows  rbchpf and envelopeshaped crystals a ct scan of the abdomen shows a mm stone in the proximal right ureter and two mm stones in the left kidney which of the following factors has most likely contributed most to this patients current condition,malabsorption of fatty acids
711,an yearold boy is brought to the physician because he has excessively dry skin his mother says that he has had dry scaly skin since he was  months old she says it is worse in winter and better in summer there is no associated itching redness or discharge examination reveals generalized fine scales with coarse skin all over the body except in the skin creases of the neck and in the cubital and popliteal fossae see image there are multiple papular elevations at the base of hair follicles and darkening of the palmar and plantar creases which of the following is the most likely diagnosis,ichthyosis vulgaris
712,a yearold woman gravida  para  at  weeks gestation comes to the emergency department because of vaginal bleeding and mild pelvic pain for  hours her current pregnancy was achieved by means of in vitro fertilization due to azoospermia in her partner prenatal course has been uncomplicated with regular prenatal visits after a period of having avoided sexual intercourse during her early pregnancy she resumed sexual activity with her partner at week  of gestation her first child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate her other child was delivered vaginally she has had abnormal pap smears due to hpv in the past her pulse is min respirations are min and blood pressure is  mm hg the abdomen is nontender the uterus is consistent with  weeks gestation and the fetus is in a cephalic presentation there are traces of blood on the vulva and the introitus speculum examination shows a tender bruised cervix with a closed cervical os fetal heart rate is min and ctg shows a reassuring fetal heart rate tracing ultrasound shows a uniformly echogenic placenta located at the fundal end of the posterior uterine wall what is the most likely cause of this patients antepartum bleeding,cervical trauma
713,a yearold boy is rushed to the emergency room with acute vomiting and abdominal pain that began earlier today his parents say that the boy was doing well until two days ago when he told them that he was feeling unwell he has diabetes and takes insulin but stopped taking it when he began to feel poorly two days ago his temperature is c f respirations are shallow and rapid with a rate of min pulse is min and blood pressure is  mm hg he appears severely dehydrated showing signs of fatigue and poor skin turgor his breath has a fruity smell to it his blood glucose level is  mgdl blood is drawn for labs and the results are given belownserum  n  ph n  pco  mm hgn  hco   meqlnsodium  meqlnpotassium  meqlnurinalysis is positive for ketone bodies what is the most appropriate immediate step in the management of this patient,administer iv fluids and insulin
714,a yearold male presents to the emergency department with chest pain he reports that one hour ago he was climbing the stairs in his home when he suddenly developed excruciating chest pain he describes the pain as ripping and radiating to the back the patients past medical history is significant for a heart murmur that is being followed by his outpatient cardiologist he takes no medications the patient works as a carpenter and reports being monogamous with his wife he denies any history of intravenous drug use or recent travel in the emergency department the patients temperature is f c blood pressure is  mmhg pulse is min and respirations are min on physical exam the patient appears to be in moderate distress and is clutching his chest he is tall and has joint hypermobility his breath sounds are equal and full bilaterally and has weak distal pulsesnnwhich of the following is most likely to be found in this patient,late systolic crescendo murmur at the apex with midsystolic click
715,a mother brings her yearold daughter to the pediatrician to discuss her childs sleeping troubles three times now in the last month the child has begun screaming and crying in the middle of the night when the parents rush to the childs room they find her crying inconsolably they try to ask her what is wrong but she does not respond and persists crying for approximately  minutes after which she goes back to sleeping comfortably upon awaking the following morning she has no recollection of the nights events which of the following is true about these episodes,they occur only during nonrem sleep
716,an yearold woman comes to the physician because of a pruritic rash on her back for the past  hours this morning she started a course of ceftriaxone for treatment of pyelonephritis a photograph of the rash is shown this patients skin findings are most likely associated with which of the following,hyperpermeability of superficial dermal microvasculature
717,two hours after admission to the hospital for dialysis a yearold woman has severe pain in her lower back the pain is  out of  in intensity and radiates down the legs she underwent a laparoscopic cholecystectomy  years ago she has hypertension chronic kidney disease type  diabetes mellitus and major depressive disorder she lives with her daughter and reports frequent fights with her at home her current medications include sertraline insulin enalapril sodium bicarbonate and sevelamer she appears uncomfortable her temperature is c f pulse is min respirations are min and blood pressure is  mm hg there is severe tenderness on palpation over the l vertebra range of motion is limited neurologic examination shows no focal findings laboratory studies shownhemoglobin  gdlnleukocyte count mmnplatelet count mmnserumnna  meqlncl  meqlnk  meqlncalcium  mgdlnurea nitrogen  mgdlnglucose  mgdlncreatinine  mgdlnan xray of the spine shows a wedge compression fracture of the l vertebra which of the following is the most likely explanation for these findings,secondary hyperparathyroidism
718,a yearold man comes to the physician because of swelling of his legs for  months three months ago he was diagnosed with hypertension and started on a new medication his blood pressure is  mm hg physical examination shows  edema in both lower extremities laboratory studies are within the reference ranges this patient was most likely treated with which of the following drugs,amlodipine
719,an investigator is studying the function of different enzymes in various human cell types a subset of normal human cells with an elevated intracellular concentration of bisphosphoglycerate mutase is harvested and isolated which of the following is most likely to be absent in these cells,ketoglutarate dehydrogenase
720,a yearold woman is brought to the emergency room after a motor vehicle accident on arrival she is stable and says that she hit a car at an intersection that came out of nowhere she states that she had similar close encounters with other cars these past few weeks but was able to avoid collisions with those she has also had intermittent headaches over the last month and has noticed that her shirts have been getting wet unexpectedly blood tests reveal an abnormal elevation of a circulating substance which of following changes is also associated with the physiologic function of the most likely substance in this case,decreased progesterone
721,a yearold woman comes to the physician because of a month history of episodic headaches associated with dizziness nausea and vomiting overthecounter pain medications have failed to reduce her symptoms an mri of the brain shows isolated dilation of the left lateral ventricle this dilatation is most likely caused by blockade of which of the following structures,interventricular foramen
722,a dayold child is brought to the emergency department by her parents they are concerned about lethargy and easy bruising her mother reports that she has been eating less for the past few days today she was difficult to arouse she normally nurses fourfive times a day but ate less yesterday and this morning the girl was born at  weeks gestation via spontaneous vaginal delivery at home with minimal prenatal or postnatal care this is her first visit to a physician of any type the family is carefully questioned and child abuse is ruled out the daughters pulse is min respirations are min temperature is c f and blood pressure is  mm hg physical examination shows diffuse petechiae and bruising which of the following is the most likely cause,vitamin k deficiency
723,a yearold boy is brought to the physician because of a generalized nonitchy rash for  days he has also had a fever and sore throat for  days he has not received any routine childhood vaccinations examination shows a flushed face except around his mouth a diffuse papular erythematous rash that blanches with pressure is seen over the trunk pharyngeal erythema and a red beefy tongue are noted his leukocyte count is mm  segmented neutrophils  lymphocytes without treatment this patients current condition puts him at greatest risk for which of the following complications,mitral valve regurgitation
724,a yearold man presents to the emergency department with fever nausea and vomiting the patient states that his symptoms started last night and have persisted to this morning he has a past medical history of asthma and his current medications include albuterol and fluticasone his temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air on physical exam the patient seems uncomfortable he requests that the lights in the room stay turned off during the physical exam the patients cardiac exam demonstrates a normal rate and rhythm and his pulmonary exam is clear to auscultation bilaterally musculoskeletal exam reveals diminished mobility of the neck in all four directions with flexion of the neck causing the patient discomfort lumbar puncture is performed and results are seen belownncerebrospinal fluid csfncell count mmncl  meqlnglucose  mgdlnpressure  mmhontotal protein  mgdlnnwhich of the following is the best treatment for this patients most likely diagnosis,iv fluids and monitoring
725,a yearold man comes to the physician with a week history of sore mouth he says that swallowing is not painful he has had asthma for more than  years his only medication is a highdose combination salmeterolfluticasone inhaler his temperature is c f pulse is min respirations are min and blood pressure is  mm hg a photograph of his oral mucosa is shown indirect mirror examination of the posterior oropharynx larynx and hypopharynx shows no abnormalities which of the following is the most appropriate next step in management,nystatin
726,a yearold woman is brought to the emergency department because of a day history of fever chills nausea and flank pain she has multiple sclerosis and a chronic indwelling bladder catheter for neurogenic bladder dysfunction one week ago she was discharged from the hospital after treatment for a multiple sclerosis flare her temperature is c c physical examination shows marked tenderness in the right costovertebral area urine cultures grow a nonlactose fermenting oxidasepositive gramnegative rod the causal organism of this patients current condition most likely produces which of the following substances,pyoverdine
727,a yearold man comes to the physician for episodic fever recurrent night sweats and a kg lb weight loss over the past  months he reports that the fever lasts for  to  days then subsides completely for about a week before returning again his temperature is c f physical examination shows nontender cervical and supraclavicular lymphadenopathy an xray of the chest shows bilateral mediastinal masses resection of a cervical lymph node is performed a photomicrograph of the resected specimen is shown further histopathological examination is most likely to show which of the following findings,cells staining positive for cd and cd
728,a yearold woman comes to the physician for the evaluation of nausea for the last two weeks during this period she has had increased urinary frequency and fatigue she also reports two episodes of nonbloody vomiting there is no personal history of serious illness her last menstrual period was  weeks ago physical examination shows bilateral breast tenderness the remainder of the examination shows no abnormalities a urine pregnancy test is positive which of the following is the most accurate predictor of the gestational age,crownrump length
729,a weekold male infant is brought to the physician by his mother because of a day history of recurrent nonbilious vomiting vomiting occurs almost immediately after most feeds each time he becomes irritable while feeding and refuses to finish the bottle he was born at  weeks gestation and weighed  g  lb  oz he currently weighs  g  lb  oz he has down syndrome his vaccinations are uptodate he appears agitated and cries during the examination his temperature is c f pulse is min respirations are min and blood pressure is  mm hg examination shows upward slanting of the eyelids a broad and flat nasal bridge and a single transverse palmar crease on both hands the abdomen is soft and nontender a cm inch epigastric mass is palpated cardiac examination shows no abnormalities arterial blood gas analysis is within normal limits further diagnostic evaluation of the patient is most likely to show which of the following,elongated and thickened pylorus on abdominal ultrasound
730,a yearold syrian immigrant and her family present for an immigration physical her mother describes photophobia bilateral lacrimation eye itching and eyelid swelling for the last week she is known to have an allergy to cephalosporins she was born at  weeks gestation via spontaneous vaginal delivery she has met all of her developmental milestones and most of her vaccines her vital signs are as follows blood pressure  mm hg heart rate min respiratory rate min and temperature c f the physical examination is mostly normal except for her eye exam as presented in the image below which of the following statements is true regarding treatment of this patients condition,the child should be administered a single dose of oral azithromycin
731,three days after induction chemotherapy a yearold boy is admitted to the hospital for fever and neutropenia he was initially diagnosed with tpositive acute t cell lymphoblastic leukemia following workup for fatigue and pancytopenia he is fully conscious his blood pressure is  mm hg temperature is c f pulse is min and respiratory rate is min physical examination including examination of the central venous catheter site shows no source of infection broadspectrum antibiotics are initiated which of the following factors about this patient most strongly indicates a poor prognosis,cytogenetics
732,a yearold homeless man comes to the emergency department because of progressive neck pain for  days he also reports headaches and numbness in both hands over the past  months he has had intermittent lower back pain after waking up the back pain improves with movement he also has recurrent episodes of gout in the metatarsophalangeal joint of his right big toe he has smoked one pack of cigarettes daily for  years and drinks four beers daily the patient is a known user of intravenous heroin he appears acutely ill his temperature is c f pulse is min and blood pressure is  mm hg there are several track marks on both forearms examination of the neck shows warmth erythema and limited range of motion gentle palpation over the midcervical spinal processes causes severe pain laboratory studies shownhemoglobin  gdlnleukocyte count mmnsegmented neutrophils neosinophils nlymphocytes nmonocytes nplatelet count mmnerythrocyte sedimentation rate  mmhnblood cultures are pending an xray of the cervical spine shows no abnormalities an mri of the spine shows signs of inflammation a bone biopsy confirms the diagnosis which of the following is the most appropriate next step in management,intravenous ciprofloxacin and vancomycin therapy
733,a monthold girl is brought to the emergency department with persistent vomiting dehydration and irritability over the past week she has been projectile vomiting after most feedings initially the vomiting would occur just once or twice a day but now it occurs after every feed however her appetite hasnt decreased and she seeks milk right after each episode of vomiting she was born at  weeks gestation via spontaneous vaginal delivery and is breastfed exclusively on physical exam the vital signs include temperature c f blood pressure  mm hg respiratory rate min and heart rate min on examination she appears to be mildly dehydrated listless and irritable her abdomen is soft and nontender with a palpable oliveshaped mass in the epigastric region which of the following acidbase disturbances is most likely associated with this patients condition,metabolic alkalosis
